name,index,indices,description,hypertarget
nonspin_units_started_up,"(u, n, s, t)",nonspin_units_started_up_indices,Number of units ``u`` held available for non-spinning upward reserve provision via startup to node ``n``  for the stochastic scenario ``s`` at timeslice ``t``.,"1515449158853584557"
ramp_down_unit_flow,"(u, n, d, s, t)",ramp_down_unit_flow_indices,Spinning downward ramp commodity flow associated with node ``n`` of unit ``u``  with node ``n`` over the connection ``conn`` in the direction ``d`` for the stochastic scenario ``s`` at timeslice ``t``.,"10694418525252012627"
ramp_up_unit_flow,"(u, n, d, s, t)",ramp_up_unit_flow_indices,Spinning upward ramp commodity flow associated with node ``n`` of unit ``u``  with node ``n`` over the connection ``conn`` in the direction ``d`` for the stochastic scenario ``s`` at timeslice ``t``.,"9153747239218328819"
shut_down_unit_flow,"(u, n, d, s, t)",shut_down_unit_flow_indices,Downward ramp commodity flow during shutdown associated with node ``n`` of unit ``u``  with node ``n`` over the connection ``conn`` in the direction ``d`` for the stochastic scenario ``s`` at timeslice ``t``.,"10023889588846761312"
start_up_unit_flow,"(u, n, d, s, t)",start_up_unit_flow_indices,Upward ramp commodity flow during start-up associated with node ``n`` of unit ``u``  with node ``n`` over the connection ``conn`` in the direction ``d`` for the stochastic scenario ``s`` at timeslice ``t``.,"7814375437069316326"
storages_decommissioned,"(n, s, t)",storages_invested_available_indices,Number of decomissioned storage nodes ``n`` for the stochastic scenario ``s`` at timeslice ``t``.,"1599110934596455243"
storages_invested,"(n, s, t)",storages_invested_available_indices,Number of storage nodes `` n`` invested in  at timeslice ``t`` for the stochastic scenario ``s``.,"3098919883039425821"
storages_invested_available,"(n, s, t)",storages_invested_available_indices,Number of invested storage nodes ``n``  that are available still the stochastic scenario ``s`` at timeslice ``t``.,"13531490810864456708"
unit_flow,"(u, n, d, s, t)",unit_flow_indices,\href{https://spine-project.github.io/SpineOpt.jl/latest/concept_reference/Object\%20Classes/#commodity-1}{Commodity} flow associated with node ``n`` over the unit ``u`` in the direction ``d`` for the stochastic scenario ``s`` at timeslice ``t``.,"8"
unit_flow_op,"(u, n, d, i=i, s, t)",unit_flow_op_indices,Contribution of the unit flow associated with operating point $i$.,"15386520178567319473"
units_available,"(u, s, t)",units_on_indices,Number of available units ``u`` for the stochastic scenario ``s`` at timeslice ``t``.,"1057106342780580266"
units_invested,"(u, s, t)",units_invested_available_indices,Number of units ``u`` for the stochastic scenario ``s``  invested in at timeslice ``t``.,"12288876274458600142"
units_invested_available,"(u, s, t)",units_invested_available_indices,Number of invested units ``u``  that are available still the stochastic scenario ``s`` at timeslice ``t``.,"1476680273894782321"
units_on,"(u, s, t)",units_on_indices,Number of online units ``u`` for the stochastic scenario ``s`` at timeslice ``t``.,"9"
units_shut_down,"(u, s, t)",units_on_indices,Number of units ``u`` for the stochastic scenario ``s`` that switched to offline status at timeslice ``t``.,"3592033272674677689"
units_started_up,"(u, s, t)",units_on_indices,Number of units ``u`` for the stochastic scenario ``s`` that switched to online status at timeslice ``t``.,"3592033272674677690"

mp_objective_lowerbound_indices,(t),mp_objective_lowerbound_indices,Updating lowerbound for master problem of Benders decomposition.,"16670373921524643221"
units_mothballed,"(u, s, t)",units_invested_available_indices,Number of units ``u`` for the stochastic scenariocenario ``s``  mothballed at timeslice ``t``.,"12958731231322585349"
