index,indices,Description
"(conn, n, uc)",connection\_\_node\_\_unit\_constraint,"Set of tuples of connection, node and unit constraint being defined under the relationship [connection\_\_to\_node\_\_unit\_constraint](https://spine-project.github.io/SpineOpt.jl/latest/concept\_reference/Relationship%20Classes/#connection\_\_to\_node\_\_unit\_constraint) or [connection\_\_from\_node\_\_unit\_constraint](https://spine-project.github.io/SpineOpt.jl/latest/concept\_reference/Relationship%20Classes/#connection\_\_from\_node\_\_unit\_constraint)"
"(u, uc)",unit\_\_unit\_constraint,Set of tuples of unit and unit constraint being defined under the relationship [unit\_\_unit\_constraint](https://spine-project.github.io/SpineOpt.jl/latest/concept\_reference/Relationship%20Classes/#unit\_\_unit\_constraint)
"(n, uc)",node\_\_unit\_constraint,"Set of tuples of node and unit constraint being defined under the relationship [node\_\_unit\_constraint](https://spine-project.github.io/SpineOpt.jl/latest/concept\_reference/Relationship%20Classes/#node\_\_unit\_constraint)"
"(unit\_constraint=uc, stochastic\_path=s, t=t)",constraint\_unit\_constraint\_indices,Set of indices for the defined unit constraints
"(connection=conn, node=n, direction=d, stochastic\_scenario=s, t=t)",binary\_gas\_connection\_flow\_indices,Set of valid indices for binary\_gas\_connection\_flow variables
"(connection=conn, node=n, direction=d, stochastic\_scenario=s, t=t)",connection\_flow\_indices,Set of valid indices for connection\_flow variables
"(connection=conn, node=n, direction=d, stochastic\_scenario=s, t=t)",connection\_intact\_flow\_indices,Set of valid indices for connection\_intact\_flow variables
"(connection=conn, stochastic\_scenario=s, t=t)",connections\_invested\_available\_indices,Set of valid indices for connections\_invested\_available variables
(t=t),mp\_objective\_lowerbound\_indices,"Set of valid indices (timeslice) for the model to update lowerbound for master problem of Benders decomposition"
"(node=n, stochastic\_scenario=s, t=t)",node\_injection\_indices,Set of valid indices for the node\_injection variables
"(node=n, stochastic\_scenario=s, t=t)",node\_pressure\_indices,Set of valid indices for the node\_pressure variables
"(node=n, stochastic\_scenario=s, t=t)",node\_slack\_indices,Set of valid indices for the node\_slack variables
"(node=n, stochastic\_scenario=s, t=t)",node\_state\_indices,Set of valid indices for the node\_state variables
"(node=n, stochastic\_scenario=s, t=t)",node\_voltage\_angle\_indices,Set of valid indices for the node\_voltage\_angle variables
"(unit=u, node=n, direction=d, stochastic\_scenario=s, t=t)",nonspin\_ramp\_down\_unit\_flow\_indices,Set of valid indices for the nonspin\_ramp\_down\_unit\_flow variables
"(unit=u, node=n, direction=d, stochastic\_scenario=s, t=t)",nonspin\_ramp\_up\_unit\_flow\_indices,Set of valid indices for the nonspin\_ramp\_up\_unit\_flow variables
"(unit=u, node=n, stochastic\_scenario=s, t=t)",nonspin\_units\_shut\_down\_indices,Set of valid indices for the nonspin\_units\_shut\_down variables
"(unit=u, node=n, stochastic\_scenario=s, t=t)",nonspin\_units\_started\_up\_indices,Set of valid indices for the nonspin\_units\_started\_up variables
"(unit=u, node=n, direction=d, stochastic\_scenario=s, t=t)",ramp\_down\_unit\_flow\_indices,Set of valid indices for the ramp\_down\_unit\_flow variables
"(unit=u, node=n, direction=d, stochastic\_scenario=s, t=t)",ramp\_up\_unit\_flow\_indices,Set of valid indices for the ramp\_up\_unit\_flow variables
"(unit=u, node=n, direction=d, stochastic\_scenario=s, t=t)",shut\_down\_unit\_flow\_indices,Set of valid indices for the shut\_down\_unit\_flow variables
"(unit=u, node=n, direction=d, stochastic\_scenario=s, t=t)",start\_up\_unit\_flow\_indices,Set of valid indices for the start\_up\_unit\_flow variables
"(node=n, stochastic\_scenario=s, t=t)",storages\_invested\_available\_indices,Set of valid indices for the storages\_invested\_available variables
"(unit=u, node=n, direction=d, stochastic\_scenario=s, t=t)",unit\_flow\_indices,Set of valid indices for the unit\_flow variables
op,operating\_points(u),"Set of [operating\_points](https://spine-project.github.io/SpineOpt.jl/latest/concept\_reference/Parameters/#operating\_points)s of a unit"
"(unit=u, node=n, direction=d, op=i, stochastic\_scenario=s, t=t)",unit\_flow\_op\_indices,Set of valid indices for the unit\_flow\_op variables
"(unit=u, stochastic\_scenario=s, t=t)",units\_invested\_available\_indices,Set of valid indices for the units\_invested\_available variables
"(unit=u, stochastic\_scenario=s, t=t)",units\_on\_indices,Set of valid indices for the units\_on variables
"(node=n, stochastic\_scenario=s, t=t)",node\_stochastic\_time\_indices,Set of valid stochastic scenario and timeslice indices for a node
"(node=n, stochastic\_scenario=s, t=t)",node\_state\_indices,Set of valid indices for the node\_state variables
"(node=n, t=t)",node\_time\_indices,Set of valid timeslice indices for a node
"(node=n, stochastic\_scenario=s, t=t, t=t)",constraint\_cyclic\_node\_state\_indices,"Set of valid indices for the cyclic node\_state constraint"
"(unit=u, node=n, direction=d)",operating\_point\_indices,Set of unit flows that use operating points
"(unit=u, node=n, node=n, stochastic\_scenario=s, t=t)",unit\_pw\_heat\_rate\_indices,Set of indices for piece-wise linear heat rate approximations for units
"(node=n, stochastic\_scenario=s, t=t)",node\_pressure\_indices,Set of valid indices for the node\_pressure variables
"(connection=conn, node=n, stochastic\_scenario=s, t=t)",connection\_ptdf\_flow\_indices,Set of valid indices for the connection\_ptdf\_flow variables
"(connection=conn, connection=conn, stochastic\_scenario=s, t=t)",constraint\_connection\_flow\_lodf\_indices,Set of valid indices for the connection LODF constraint
"(node=n, stochastic\_scenario=s, t=t)",unit\_investment\_lifetime\_indices,Set of valid indices for the unit investment lifetime constraint
(connection=conn),candidate\_connections\_indices,Set of possible connections to invest in
"(connection=conn, node=n, direction=d, stochastic\_scenario=s, t=t)",constraint\_candidate\_connection\_flow\_lb\_indices,Set of valid indices for the candidate connection flow lower bound constraint
"(connection=conn, node=n, direction=d, stochastic\_scenario=s, t=t)",constraint\_candidate\_connection\_flow\_ub\_indices,Set of valid indices for the candidate connection flow upper bound constraint
"(connection=conn, stochastic\_scenario=s, t=t)",connection\_investment\_lifetime\_indices,Set of valid indices for the connection investment lifetime constraint
"(node=n, stochastic\_scenario=s, t=t)",storage\_investment\_lifetime\_indices,Set of valid indices for the storage investment lifetime constraint
"(unit\_constraint=uc, t=t, stochastic\_scenario=s)",constraint\_unit\_constraint\_indices,Set of valid indices for the unit constraint
